page_view;user_engagement;scroll;session_start;first_visit;view_item;view_promotion;add_to_cart;begin_checkout;select_item;view_search_results;add_shipping_info;select_promotion;add_payment_info;click;view_item_list
3;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0
1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0
3;2;1;1;1;3;0;0;0;0;0;0;0;0;0;0
2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
3;1;0;1;1;0;3;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0
3;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
3;3;3;1;1;0;1;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0
2;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0
12;12;5;1;1;6;1;0;0;0;0;0;0;0;0;0
2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0
2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0
4;4;3;2;0;0;2;0;0;0;0;0;0;0;0;0
2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
4;3;2;2;1;2;2;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
3;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
3;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0
1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
3;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
6;6;2;1;0;0;2;0;0;0;0;0;0;0;0;0
1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0
115;115;1;1;1;60;6;0;1;0;2;1;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8;7;3;2;0;0;4;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
3;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0
10;10;9;2;1;8;1;0;0;0;0;0;0;0;0;0
8;7;0;1;1;3;2;0;1;0;0;1;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
3;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0
10;8;4;2;1;1;3;0;0;0;0;0;0;0;0;0
1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
6;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0
2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
9;9;3;1;1;6;1;0;0;0;0;0;0;0;0;0
7;7;3;2;0;1;1;0;0;0;0;0;0;0;0;0
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0
1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
25;22;10;1;0;23;2;0;2;0;0;2;1;2;1;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
13;13;3;1;0;0;3;0;0;0;0;0;0;0;0;0
5;5;2;1;1;0;1;0;0;0;0;0;0;0;0;0
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;5;1;1;1;3;0;0;0;0;0;0;0;0;0;0
3;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0
1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
11;10;4;6;1;0;2;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7;7;4;2;1;0;3;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;2;0;2;1;0;2;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
2;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
4;4;3;2;1;0;1;0;0;0;0;0;0;0;0;0
5;0;1;5;1;1;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
3;3;2;1;1;0;1;0;0;0;1;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0
2;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0
2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
12;11;8;2;1;12;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
43;32;15;3;0;34;2;3;0;8;0;0;0;0;0;0
1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
3;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
4;3;0;2;1;3;1;0;0;0;0;0;1;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
3;3;1;1;1;3;0;0;0;0;0;0;0;0;0;0
